feature,importance
neighborhood_Aida,9.951420367440687e-12
neighborhood_Hay Rahma,9.760992450780837e-12
neighborhood_Skikina,9.751682044997664e-12
city_Mediouna,9.504366307581063e-12
neighborhood_Ben M'sick,9.278396168581023e-12
neighborhood_Hay salam,8.713744792883486e-12
neighborhood_Iris,8.636130171485631e-12
neighborhood_Sidi Youssef Ben Ali,8.333715345731248e-12
neighborhood_Dar Mehrez,8.324805449016292e-12
neighborhood_Bettana,7.90995447565167e-12
neighborhood_Tassila,7.834533905977986e-12
neighborhood_Route d'Ourika,7.705610696114937e-12
city_Lamkansa,7.54957583723651e-12
neighborhood_Hay Annasr,7.454495770037418e-12
neighborhood_Taboula,7.418508538522288e-12
city_Al Firdaous,6.761521944751218e-12
neighborhood_Ben Ejdia,6.6808697281542346e-12
city_Tifelt,6.2882298408146505e-12
city_Dakhla,6.196418417984899e-12
city_Tamensourt,6.094136600579872e-12
neighborhood_Hay Oued Dahab,6.009764443779434e-12
neighborhood_Sbata,5.9860543045850835e-12
city_Ouled Teïma,5.981043770200664e-12
city_Ouislane,5.72074558703614e-12
city_Imouzzer-Kendar,5.625973929654602e-12
city_Drargua,5.564038024582939e-12
city_Azla,5.440752637503217e-12
neighborhood_Zouagha,5.193250894917346e-12
city_Laâyoune,5.034615492422056e-12
city_Béni Yakhlef,4.757244256364605e-12
neighborhood_Jbel Kbir,4.450388786575951e-12
neighborhood_La Siesta,4.051516514234287e-12
city_Dcheïra El Jihadia,3.972017739990489e-12
neighborhood_Assam,3.911518055918613e-12
neighborhood_Sakani,3.8872337082860894e-12
neighborhood_Hay Sadri,3.846501229717068e-12
neighborhood_Boustane,3.4506724832604095e-12
neighborhood_Ziatene,3.2535413928626607e-12
neighborhood_Sidi Abbad,3.0041578496134348e-12
neighborhood_Ain kadous,2.9167635338283434e-12
neighborhood_manar,2.858331958217123e-12
neighborhood_Azib Derai,2.8176213222339196e-12
neighborhood_La Hacienda,2.8121697683592785e-12
neighborhood_Al Madina Aljadida,2.7850426979598083e-12
neighborhood_El Qaria,2.761000977901436e-12
neighborhood_kasbat al mahdia,2.7137932353067202e-12
neighborhood_Zawiyat Sidi Wassel,2.606958867819376e-12
neighborhood_Hay Inara,2.391524842970161e-12
neighborhood_Hay Kilz,2.000442888002899e-12
neighborhood_Al Wifaq,1.996344337962417e-12
city_Ouazzane,1.7757091636409778e-12
city_Sidi Yahya Zaer,1.6826487379693852e-12
neighborhood_Fouarate,1.6698903421685323e-12
neighborhood_Mouilha,1.6205294792043218e-12
neighborhood_Massira,1.6122483539125564e-12
neighborhood_Hay Arrachad,1.5625956045911054e-12
neighborhood_Aharrarine,1.3683997063889915e-12
neighborhood_Bab Sebta,1.3439375832850627e-12
neighborhood_Cité Militaire,1.2232732479488235e-12
neighborhood_Ain Atig,1.1810722311843005e-12
city_Selouane,1.1190080491689573e-12
neighborhood_Saniat Rmal,1.1160777967435088e-12
neighborhood_Andalous,1.0034270493409029e-12
neighborhood_Zone Industrielle Agadir,8.177406849256456e-13
neighborhood_Le bord de mer,8.071403721039559e-13
neighborhood_Route de Tamansourt,7.860525208301649e-13
neighborhood_Arghoud,7.591231390462955e-13
neighborhood_Bab Fès,6.447050627932751e-13
neighborhood_Messrour 2,4.638401837755663e-13
city_Kasba Tadla,3.650273619791224e-13
neighborhood_Imarat,2.623921677242797e-13
city_Dcheira,1.9767183812945022e-13
neighborhood_Zone Industrielle,1.749857111030724e-13
neighborhood_Aviation,1.4391347639686978e-13
neighborhood_Branes Kdima,1.3581130085269904e-13
city_Sidi Kacem,1.32294976493917e-13
neighborhood_Hay Al Matar,9.258293596078736e-14
neighborhood_Route de Fès,2.2562253719271937e-14
neighborhood_Firdaouss,0.0
neighborhood_El Youssoufia,0.0
neighborhood_Jemaa El Fna,0.0
neighborhood_Akioud,0.0
neighborhood_Hay el matar,0.0
neighborhood_Hay Ennasr,0.0
neighborhood_Hay Chrifa,0.0
neighborhood_Ghazoua,0.0
neighborhood_El Manar El Hank,0.0
neighborhood_Bd Allal el fassi,0.0
neighborhood_Ouled Arfa,0.0
neighborhood_Quartier Industriel,0.0
city_Taroudant,0.0
neighborhood_Ain Errouz,0.0
neighborhood_Massira 3,0.0
neighborhood_Riad Salam,0.0
neighborhood_Sidi Moussa,0.0
city_Chefchaouen,0.0
